"PK","MATRICULA","FECHA_RADICA_TEXTO","FECHA_APERTURA_TEXTO","YEAR_RADICA","ORIP","DIVIPOLA","DEPARTAMENTO","MUNICIPIO","TIPO_PREDIO_ZONA","CATEGORIA_RURALIDAD","NUM_ANOTACION","ESTADO_FOLIO","FOLIOS_DERIVADOS","Dinámica_Inmobiliaria","COD_NATUJUR","NOMBRE_NATUJUR","NUMERO_CATASTRAL","NUMERO_CATASTRAL_ANTIGUO","DOCUMENTO_JUSTIFICATIVO","COUNT_A","COUNT_DE","PREDIOS_NUEVOS","TIENE_VALOR","TIENE_MAS_DE_UN_VALOR","VALOR"
"52838-254-011022-00017-00125-2019","254-11022","2019-09-02 00:00:00","1982-04-26 00:00:00","2019","254","52838","NARIÑO","TÚQUERRES","URBANO","Intermedio","17",,,"1","125","COMPRAVENTA",,,"01-ESCRITURA 741 DE 29-08-2019;","1","1","0","0","0",
"52838-254-011047-00012-00307-2022","254-11047","2022-07-01 00:00:00","1982-05-03 00:00:00","2022","254","52838","NARIÑO","TÚQUERRES","RURAL","Intermedio","12",,,"1","307","COMPRAVENTA DERECHOS DE CUOTA",,,"01-ESCRITURA 556 DE 23-06-2022; NOTARIA PRIMERA DE TUQUERRES","1","1","0","1","0","1,000,000"
"52838-254-011078-00034-00601-2018","254-11078","2018-12-28 00:00:00","1983-11-15 00:00:00","2018","254","52838","NARIÑO","TÚQUERRES","URBANO","Intermedio","34",,,"0","601","ADJUDICACIÓN SUCESIÓN DERECHOS Y ACCIONES",,,"01-ESCRITURA 1007 DE 23-11-2018;","2","1","0","0","0",
"52838-254-011111-00015-00301-2021","254-11111","2021-08-06 00:00:00","1982-03-04 00:00:00","2021","254","52838","NARIÑO","TÚQUERRES","RURAL","Intermedio","15",,,"1","301","ADJUDICACIÓN SUCESIÓN DERECHO DE CUOTA",,,"01-ESCRITURA 2070 DE 12-04-2021; NOTARIA CUARTA DE PASTO","1","1","0","1","0","8,000,000"
"52838-254-011111-00016-00307-2021","254-11111","2021-10-27 00:00:00","1982-03-04 00:00:00","2021","254","52838","NARIÑO","TÚQUERRES","RURAL","Intermedio","16",,,"1","307","COMPRAVENTA DERECHOS DE CUOTA",,,"01-ESCRITURA 773 DE 31-08-2021; NOTARIA SEGUNDA DE TUQUERRES","2","1","0","1","0","8,500,000"
"52838-254-011111-00017-00901-2021","254-11111","2021-10-27 00:00:00","1982-03-04 00:00:00","2021","254","52838","NARIÑO","TÚQUERRES","RURAL","Intermedio","17",,,"0","901","ACLARACIÓN",,,"01-ESCRITURA 1022 DE 25-10-2021; NOTARIA SEGUNDA DE TUQUERRES","2","1","0","0","0",
"52838-254-011111-00018-00307-2023","254-11111","2023-03-28 00:00:00","1982-03-04 00:00:00","2023","254","52838","NARIÑO","TÚQUERRES","RURAL","Intermedio","18",,,"1","307","COMPRAVENTA DERECHOS DE CUOTA",,,"01-ESCRITURA 230 DE 24-03-2023; NOTARIA SEGUNDA DE TUQUERRES","4","4","0","1","0","16,000,000"
"52838-254-011111-00019-00307-2023","254-11111","2023-09-18 00:00:00","1982-03-04 00:00:00","2023","254","52838","NARIÑO","TÚQUERRES","RURAL","Intermedio","19",,,"1","307","COMPRAVENTA DERECHOS DE CUOTA",,,"01-ESCRITURA 619 DE 11-07-2023; NOTARIA PRIMERA DE TUQUERRES","2","2","0","1","0","16,000,000"
"52838-254-011124-00011-00841-2017","254-11124","2017-10-17 00:00:00","1982-06-01 00:00:00","2017","254","52838","NARIÑO","TÚQUERRES","RURAL","Intermedio","11",,,"0","841","CANCELACIÓN PROVIDENCIA JUDICIAL",,,"04-OFICIO 866-17 DE 12-10-2017;","1","1","0","0","0",
"52838-254-011124-00012-00601-2017","254-11124","2017-10-17 00:00:00","1982-06-01 00:00:00","2017","254","52838","NARIÑO","TÚQUERRES","RURAL","Intermedio","12",,,"0","601","ADJUDICACIÓN SUCESIÓN DERECHOS Y ACCIONES",,,"06-SENTENCIA SN DE 12-10-2017; J","5","1","0","0","0",
